Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004351608849062665,0.004351608849062665,0.004351608849062665,5.036570969495911,5.036570969495911,5.036570969495911,5.0368371913555094,5.0368371913555094,5.0368371913555094,0.0,0.0,-200.0,0.0,0.0,-200.00087761433926,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.22997536201500873,-0.22997536201500882,-0.22997536201500882,-0.0069384076681152035,-0.006938407668115205,-0.006938407668115205
0.01,-0.00024824082206471865,-0.00024824082206471865,-0.00024824082206471865,-0.04429961826079981,-0.044299618260799846,-0.04429961826079983,0.00438284720030769,0.00438284720030769,0.00438284720030769,5.036570969495911,5.036570969495911,5.036570969495911,5.053567667188593,5.053567667188593,5.053567667188593,0.0,0.0,-200.0,0.0,-7.19481875963862e-15,-200.0558821991022,0.0,-1.4389247772835927e-14,-200.00000245737616,-1.1028194113048269,-1.1028194113048275,-1.1028194113048275,-0.0328117769979562,-0.03281177699795622,-0.03281177699795622
0.02,-0.0009068023066715752,-0.0009068023066715752,-0.0009068023066715752,-0.08253498994914643,-0.08253498994914646,-0.08253498994914645,0.004378271650361809,0.004378271650361809,0.004378271650361809,5.036570969495911,5.036570969495911,5.036570969495911,5.093454436507577,5.093454436507577,5.093454436507577,0.0,0.0,-200.0,0.0,0.0,-200.18706605807674,0.0,-1.4389247772835927e-14,-200.00000245737616,-2.2474389052662707,-2.2474389052662707,-2.2474389052662707,-0.06366240145195808,-0.06366240145195806,-0.06366240145195806
0.03,-0.0019115713426269276,-0.0019115713426269276,-0.0019115713426269276,-0.11411706815909695,-0.114117068159097,-0.114117068159097,0.004287135845330501,0.004287135845330502,0.004287135845330502,5.036570969495911,5.036570969495911,5.036570969495911,5.152793066695965,5.152793066695965,5.152793066695965,0.0,0.0,-200.0,0.0,-7.195969698933695e-15,-200.3823518358374,0.0,-1.4389247772835927e-14,-200.00000245737616,-3.6590918197275064,-3.6590918197275064,-3.659091819727507,-0.09720565958605262,-0.09720565958605264,-0.09720565958605264
0.04,-0.0031926314470512446,-0.0031926314470512446,-0.0031926314470512446,-0.13838562867648113,-0.13838562867648121,-0.1383856286764812,0.004049740987929548,0.004049740987929548,0.004049740987929548,5.036570969495911,5.036570969495911,5.036570969495911,5.227537942897154,5.227537942897154,5.227537942897154,0.0,0.0,-200.0,0.0,0.0,-200.62855519442658,0.0,-1.4389247772835927e-14,-200.00000245737616,-5.431173900671239,-5.431173900671242,-5.431173900671242,-0.13500614353833085,-0.13500614353833096,-0.13500614353833096
0.05,-0.00467095213956864,-0.00467095213956864,-0.00467095213956864,-0.15416582112638516,-0.15416582112638522,-0.15416582112638527,0.0036482958407892284,0.0036482958407892284,0.0036482958407892284,5.036570969495911,5.036570969495911,5.036570969495911,5.313089707261727,5.313089707261727,5.313089707261727,0.0,0.0,-200.0,0.0,-7.197876976144307e-15,-200.91064903229764,0.0,-1.4389247772835927e-14,-200.00000245737616,-7.771195944400534,-7.771195944400534,-7.771195944400533,-0.18035729368232448,-0.18035729368232453,-0.18035729368232448
0.06,-0.0062522824445575,-0.0062522824445575,-0.0062522824445575,-0.15972344123435464,-0.15972344123435467,-0.15972344123435475,0.003198502912952735,0.003198502912952735,0.003198502912952735,5.036570969495911,5.036570969495911,5.036570969495911,5.403948497675629,5.403948497675629,5.40394849767563,0.0,0.0,-200.0,2.450093871124316e-15,-1.5812531125672998e-14,-201.21058404192453,0.0,-1.4389247772835927e-14,-200.00000245737616,-10.754538476523605,-10.754538476523607,-10.754538476523608,-0.2335216972014843,-0.2335216972014843,-0.23352169720148433
0.07,-0.007828292649234195,-0.007828292649234195,-0.007828292649234209,-0.15429386968552272,-0.1542938696855228,-0.15429386968552275,0.002894709152428592,0.002894709152428592,0.002894709152428586,5.036570969495911,5.036570969495911,5.036570969495911,5.493877128597645,5.493877128597645,5.493877128597646,0.0,0.0,-200.0,0.0,-1.4400198470154955e-14,-201.50779440733018,0.0,-1.4389247772835927e-14,-200.00000245737616,-13.778167000639561,-13.778167000639568,-13.77816700063962,-0.28320637021800965,-0.2832063702180099,-0.28320637021801115
0.08,-0.009298203787968404,-0.009298203787968404,-0.009298203787968418,-0.1399374971555956,-0.13993749715559567,-0.13993749715559553,0.002776098434110953,0.002776098434110953,0.0027760984341109567,5.036570969495911,5.036570969495911,5.036570969495911,5.5772337947993265,5.5772337947993265,5.577233794799327,0.0,0.0,-200.0,0.0,-1.4402298617811328e-14,-201.78359110642302,0.0,-1.4389247772835927e-14,-200.00000245737616,-16.065624950236156,-16.065624950236163,-16.06562495023616,-0.31735723054658405,-0.3173572305465844,-0.31735723054658377
0.09,-0.010591125316728497,-0.010591125316728497,-0.010591125316728511,-0.11996491893758877,-0.11996491893758887,-0.11996491893758868,0.0027547829435703546,0.0027547829435703546,0.0027547829435703554,5.036570969495911,5.036570969495911,5.036570969495911,5.650145436722733,5.650145436722733,5.650145436722734,0.0,0.0,-200.0,0.0,-7.202080982685866e-15,-202.0250700461427,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.56543172836426,-17.565431728364263,-17.565431728364274,-0.33680271223969155,-0.33680271223969166,-0.33680271223969166
0.1,-0.011666004950422706,-0.011666004950422706,-0.01166600495042272,-0.09696345251366915,-0.0969634525136693,-0.09696345251366903,0.002762103691175015,0.002762103691175015,0.0027621036911750175,5.036570969495911,5.036570969495911,5.036570969495911,5.710401997666087,5.710401997666087,5.710401997666088,0.0,0.0,-200.0,2.4637695577350355e-15,-8.625318253622573e-15,-202.2248054276263,0.0,-1.4389247772835927e-14,-200.00000245737616,-18.53034900374347,-18.53034900374348,-18.530349003743478,-0.3467083045515933,-0.3467083045515937,-0.34670830455159285
0.11,-0.012502239191870504,-0.012502239191870518,-0.012502239191870518,-0.07261293359085585,-0.07261293359085595,-0.07261293359085567,0.0027742492175111934,0.0027742492175111926,0.0027742492175111926,5.036570969495911,5.036570969495911,5.036570969495911,5.7569162491998895,5.7569162491998895,5.7569162491998895,0.0,0.0,-200.0,0.0,0.0,-202.3790930658237,0.0,-1.4389247772835927e-14,-200.00000245737616,-19.097087537965304,-19.09708753796533,-19.097087537965326,-0.3495678914670588,-0.3495678914670593,-0.3495678914670591
0.12,-0.013093920798681699,-0.013093920798681713,-0.013093920798681713,-0.048252376944094774,-0.048252376944094795,-0.04825237694409455,0.0027863106817990905,0.0027863106817990887,0.0027863106817990887,5.036570969495911,5.036570969495911,5.036570969495911,5.789424843160973,5.789424843160974,5.789424843160974,0.0,0.0,-200.0,0.0,-5.6980270063136496e-15,-202.48697797708,0.0,-1.4389247772835927e-14,-200.00000245737616,-19.320515898786216,-19.32051589878625,-19.320515898786244,-0.3467270562647968,-0.34672705626479744,-0.34672705626479716
0.13,-0.013446911351327334,-0.013446911351327348,-0.013446911351327334,-0.02492126702565321,-0.02492126702565317,-0.024921267025653032,0.002793619769956902,0.0027936197699569,0.002793619769956902,5.036570969495911,5.036570969495911,5.036570969495911,5.808321567921141,5.8083215679211415,5.808321567921141,0.0,0.0,-200.0,-2.4681679689074466e-15,-8.629141939009402e-15,-202.549710142356,0.0,-1.4389247772835927e-14,-200.00000245737616,-19.266534020122602,-19.266534020122634,-19.2665340201226,-0.33953950170875397,-0.3395395017087544,-0.33953950170875385
0.14,-0.013576118556285377,-0.013576118556285391,-0.013576118556285377,-0.003430033681402821,-0.003430033681402741,-0.0034300336814026737,0.002796081103639188,0.0027960811036391907,0.002796081103639188,5.036570969495911,5.036570969495911,5.036570969495911,5.814505925635806,5.814505925635807,5.814505925635806,0.0,0.0,-200.0,0.0,0.0,-202.57024384083226,0.0,-1.4389247772835927e-14,-200.00000245737616,-18.97571896644707,-18.975718966447065,-18.975718966447058,-0.3289144454421715,-0.3289144454421712,-0.3289144454421712
0.15,-0.01350353910309908,-0.013503539103099094,-0.01350353910309908,0.01559387075887129,0.015593870758871387,0.015593870758871404,0.002794101168515686,0.002794101168515686,0.002794101168515686,5.036570969495911,5.036570969495911,5.036570969495911,5.809273165995179,5.8092731659951795,5.809273165995179,0.0,0.0,-200.0,-2.4682107817310758e-15,-1.425022159249173e-15,-202.5528695944537,0.0,-1.4389247772835927e-14,-200.00000245737616,-18.488507531033626,-18.488507531033644,-18.48850753103362,-0.3157103070003649,-0.3157103070003654,-0.3157103070003646
0.16,-0.013256480681476446,-0.01325648068147646,-0.013256480681476446,0.03169690482126237,0.0316969048212625,0.03169690482126246,0.0027883020047566693,0.0027883020047566667,0.0027883020047566693,5.036570969495911,5.036570969495911,5.036570969495911,5.794212921479879,5.79421292147988,5.794212921479879,0.0,0.0,-200.0,-2.4675333690554194e-15,-8.628589140821094e-15,-202.5028717223878,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.84584861531858,-17.845848615318616,-17.845848615318577,-0.300745198991824,-0.3007451989918245,-0.3007451989918238
0.17,-0.012865872648173127,-0.01286587264817314,-0.012865872648173127,0.0445900991256087,0.044590099125608865,0.04459009912560877,0.0027794717665458445,0.0027794717665458445,0.0027794717665458445,5.036570969495911,5.036570969495911,5.036570969495911,5.771112962110646,5.771112962110646,5.771112962110646,0.0,0.0,-200.0,0.0,-1.440730774359643e-14,-202.42620164261655,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.088494593810804,-17.08849459381082,-17.088494593810804,-0.28478682721705567,-0.28478682721705606,-0.28478682721705567
0.18,-0.012364686025933574,-0.012364686025933588,-0.012364686025933574,0.05413524051733914,0.05413524051733932,0.05413524051733917,0.002769246439694564,0.0027692464396945633,0.002769246439694564,5.036570969495911,5.036570969495911,5.036570969495911,5.741869573281212,5.741869573281213,5.741869573281212,0.0,0.0,-200.0,-2.4651815189743377e-15,-1.4232732135811242e-15,-202.3291733269884,0.0,-1.4389247772835927e-14,-200.00000245737616,-16.252161366291624,-16.25216136629165,-16.252161366291624,-0.2684566879954997,-0.2684566879955001,-0.2684566879954997
0.19,-0.011786663818570894,-0.011786663818570908,-0.011786663818570894,0.0603000234131562,0.0603000234131564,0.06030002341315621,0.0027602095764403247,0.0027602095764403247,0.0027602095764403247,5.036570969495911,5.036570969495911,5.036570969495911,5.708417267672244,5.708417267672245,5.708417267672244,0.0,0.0,-200.0,-2.4636805503808456e-15,-8.625241064237365e-15,-202.2182241092279,0.0,-1.4389247772835927e-14,-200.00000245737616,-15.368050444435438,-15.368050444435454,-15.368050444435442,-0.2523221575499089,-0.25232215754990894,-0.252322157549909
0.2,0.23571833812816045,0.23571833812816045,0.23571833812816045,0.06319709804396216,0.06319709804396235,0.06319709804396216,0.0022099780513036796,0.0022099780513036796,0.0022099780513036796,19.181950665421784,19.181950665421784,19.181950665421784,5.677169708157791,5.677169708157792,5.677169708157791,0.0,0.0,-250.0,0.0,-1.4404858855583717e-14,-202.11462979936536,0.0,0.0,-250.00000223057026,411.4564090751188,411.4564090751188,411.45640907511887,3.5479991227751944,3.5479991227751944,3.5479991227751944
0.21,0.23210372483496394,0.23210372483496394,0.23210372483496394,-0.7018062356773478,-0.7018062356773476,-0.7018062356773478,0.0022224509319941966,0.0022224509319941966,0.0022224509319941966,19.181950665421784,19.181950665421784,19.181950665421784,5.9278325168507875,5.927832516850788,5.9278325168507875,0.0,0.0,-250.0,-2.4735551306979096e-15,-8.633849784719606e-15,-202.94680170857316,0.0,0.0,-250.00000223057026,383.5551892398388,383.5551892398388,383.5551892398388,3.3229981661142265,3.3229981661142265,3.3229981661142265
